Proc Types,Count
AMD Opteron(tm) Processor 2350,37
AMD Opteron(tm) Processor 2354,30
AMD Opteron(tm) Processor 248,17
AMD Opteron(tm) Processor 4180,1
AMD Opteron(tm) Processor 6128,16
AMD Opteron(tm) Processor 6136,204
AMD Opteron(tm) Processor 6172,46
AMD Opteron(tm) Processor 6174,3
AMD Opteron(TM) Processor 6272,71
AMD Opteron(tm) Processor 6320,271
AMD Opteron(tm) Processor 6344,60
AMD Opteron(tm) Processor 6376,84
AMD Opteron(tm) Processor 6378,44
Intel Core i7 9xx (Nehalem Class Core i7),5
Intel(R) Core(TM) i7 CPU 920 @ 2.67GHz,2
Intel(R) Core(TM) i7 CPU 930 @ 2.80GHz,121
Intel(R) Core(TM) i7 CPU 950 @ 3.07GHz,335
Intel(R) Core(TM) i7 CPU 960 @ 3.20GHz,9
Intel(R) Core(TM) i7-2600K CPU @ 3.40GHz,404
Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,4
Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz,5
Intel(R) Core(TM) i7-4771 CPU @ 3.50GHz,91
Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,6
Intel(R) Core(TM) i7-5820K CPU @ 3.30GHz,43
Intel(R) Core(TM)2 Quad CPU Q8400 @ 2.66GHz,1
Intel(R) Xeon(R) CPU E5-2403 0 @ 1.80GHz,2
Intel(R) Xeon(R) CPU E5-2430L 0 @ 2.00GHz,27
Intel(R) Xeon(R) CPU E5-2470 v2 @ 2.40GHz,53
Intel(R) Xeon(R) CPU E5-2609 v3 @ 1.90GHz,4
Intel(R) Xeon(R) CPU E5-2618L v4 @ 2.20GHz,7
Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,50
Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz,10
Intel(R) Xeon(R) CPU E5-2630 0 @ 2.30GHz,15
Intel(R) Xeon(R) CPU E5-2630 v2 @ 2.60GHz,15
Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,21
Intel(R) Xeon(R) CPU E5-2640 0 @ 2.50GHz,24
Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,11
Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,73
Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz,67
Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz,222
Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,128
Intel(R) Xeon(R) CPU E5-2650L v3 @ 1.80GHz,58
Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,49
Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz,81
Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz,25
Intel(R) Xeon(R) CPU E5-2667 v2 @ 3.30GHz,10
Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,316
Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,116
Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,1
Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,457
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,40
Intel(R) Xeon(R) CPU E5-2690 0 @ 2.90GHz,1
Intel(R) Xeon(R) CPU E5-2690 v4 @ 2.60GHz,143
Intel(R) Xeon(R) CPU E5-4620 0 @ 2.20GHz,8
Intel(R) Xeon(R) CPU E5410 @ 2.33GHz,64
Intel(R) Xeon(R) CPU E5430 @ 2.66GHz,112
Intel(R) Xeon(R) CPU E5440 @ 2.83GHz,16
Intel(R) Xeon(R) CPU E5504 @ 2.00GHz,6
Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,59
Intel(R) Xeon(R) CPU E5530 @ 2.40GHz,113
Intel(R) Xeon(R) CPU E5620 @ 2.40GHz,22
Intel(R) Xeon(R) CPU E5645 @ 2.40GHz,67
Intel(R) Xeon(R) CPU E7-4850 v3 @ 2.20GHz,2
Intel(R) Xeon(R) CPU E7-8860 v3 @ 2.20GHz,224
Intel(R) Xeon(R) CPU E7-8870 v4 @ 2.10GHz,1640
Intel(R) Xeon(R) CPU E7-L8867 @ 2.13GHz,2
Intel(R) Xeon(R) CPU L5520 @ 2.27GHz,600
Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,218
Intel(R) Xeon(R) CPU X5570 @ 2.93GHz,14
Intel(R) Xeon(R) CPU X5650 @ 2.67GHz,1992
Intel(R) Xeon(R) CPU X5660 @ 2.80GHz,259
Intel(R) Xeon(TM) CPU 3.20GHz,7
