CPU utilized,cycles,clock speed,instructions,instructions per cycle,time (s)
1.001,70090826663,3.297,80076932518,1.14,21.247008995
1.001,70104080915,3.297,80078384521,1.14,21.25322055
1.001,70100300080,3.297,80077773243,1.14,21.250995295
1.001,70090420865,3.296,80077927920,1.14,21.255349333
1.001,70087854845,3.297,80077034787,1.14,21.246037556
1.001,70103381115,3.297,80077666451,1.14,21.2506364
1.001,70083066321,3.297,80077222464,1.14,21.243906616
1.001,73035675819,3.297,80080070944,1.1,22.14126496
1.001,70078389241,3.297,80076907689,1.14,21.242338164
1.001,70255768091,3.297,80078191499,1.14,21.295311506
1.001,70104634953,3.297,80079582791,1.14,21.251267211
1.001,70101968269,3.297,80081006146,1.14,21.248055963
1.001,70085351584,3.297,80082858299,1.14,21.24250421
1.001,70087707300,3.297,80080563991,1.14,21.242631082
1.001,70094170990,3.297,80078490855,1.14,21.2453093
1.001,70112608813,3.297,80077879060,1.14,21.25387165
1.001,72225838425,3.297,80080171708,1.11,21.893506374
1.001,70092392304,3.297,80076891394,1.14,21.246558952
1.001,72916768404,3.297,80080326814,1.1,22.103160802
1.001,70087002747,3.297,80077098573,1.14,21.244809666
1.001,70379852402,3.297,80077377825,1.14,21.33538725
1.001,70375483799,3.297,80077107421,1.14,21.331939157
1.001,70101106860,3.297,80076829987,1.14,21.248324278
1.001,70082324563,3.297,80077378479,1.14,21.243707673
1.001,70107257710,3.296,80077674493,1.14,21.257958932
