CPU utilized,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
cycles,1503052043872.0,1502912488235.0,1502911571461.0,1502916492913.0,1502990815024.0,1502868273592.0,1503030634183.0,1502866364228.0,1502913268014.0,1502937185513.0,1502968258144.0,1502917791639.0,1502896794759.0,1502891568871.0,1502904420853.0,1502899793279.0,1502894335389.0,1502927222176.0,1502904489156.0,1502916872215.0,1502899232330.0,1502920663823.0,1503083675462.0,1503937955550.0,1502845250261.0,1502921583938.0,1503388741460.0,1502892469320.0,1502886188408.0,1502933367615.0,1502892919768.0,1502941927595.0,1502913350570.0,1502863787284.0,1502914554689.0,1502869762066.0,1502868518229.0,1502936193090.0,1502901825436.0,1502841406967.0,1502901982735.0,1502878216298.0,1502952879640.0,1502874370686.0,1502838526937.0,1502839221644.0,1502829855491.0,1502893928557.0,1502884804572.0,1502913599229.0,1502886070687.0,1502901655552.0,1502937104221.0,1502888680052.0,1502882922540.0,1502932782674.0,1502886951566.0,1502918852791.0,1502880579547.0,1502902923054.0,1504880855738.0,1502891536725.0,1502892888334.0,1502901454349.0,1502902566396.0,1502880161539.0,1502982417806.0,1502983159658.0,1502897018856.0,1502899469348.0,1502907700477.0,1502925100335.0,1502911981881.0,1502905626630.0,1502981750944.0,1502871509847.0,1503018460622.0,1502878510095.0,1502920218875.0,1502895480733.0,1502898036994.0,1502891594969.0,1503348653293.0,1503408758351.0,1503319087807.0,1503329418946.0,1503299992728.0,1503317682159.0,1503339375497.0,1503524084931.0,1503283124978.0,1505854725789.0,1503363397897.0,1503382266890.0,1503400240107.0,1503742674078.0,1503017718779.0,1566346419234.0,1502882576990.0,1503117596810.0,1503428660484.0,1503488546454.0,1503307862165.0,1503421569224.0,1503723786158.0,1503378375370.0,1503256744030.0,1503251053185.0,1503394697952.0,1503361912026.0,1503439079904.0,1503401238522.0,1503401814763.0,1503419922894.0,1503476716074.0,1503475071569.0,1503560314373.0,1503423877338.0,1503469253880.0,1503437724972.0,1503419213874.0,1503428390602.0,1503462051629.0,1503425366108.0,1505712363720.0,1503456057716.0,1503442552753.0,1503437355767.0,1503430304985.0,1503434005275.0,1505813214180.0,1503428991603.0,1503434213332.0,1503533923423.0,1503453629985.0,1503408351313.0,1503543451590.0,1503456557880.0,1503420525408.0,1503494468961.0,1503427840524.0,1503422041659.0,1503421550708.0,1503434036960.0,1503442059190.0,1503447929674.0,1503413089233.0,1503519281218.0,1503403231451.0,1503420753743.0,1503410513424.0,1503422616019.0,1503407357714.0,1503733923961.0,1503437014345.0
clock speed,3.288,3.288,3.29,3.289,3.272,3.093,3.093,3.094,3.106,3.291,3.29,3.29,3.291,3.291,3.292,3.291,3.289,3.291,3.29,3.291,3.256,3.094,3.094,3.094,3.094,3.167,3.292,3.291,3.294,3.169,3.093,3.093,3.092,3.094,3.095,3.178,3.295,3.295,3.235,3.095,3.096,3.096,3.096,3.096,3.095,3.095,3.095,3.282,3.293,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.294,3.295,3.295,3.295,3.295,3.295,3.295,3.295,3.294,3.292,3.292,3.291,3.291,3.29,3.29,3.289,3.294,3.294,3.294,3.295,3.294,3.295,3.294,3.259,3.25,3.269,3.269,3.269,3.264,3.259,3.251,3.269,3.27,3.258,3.249,3.25,3.264,3.283,3.295,3.294,3.273,3.247,3.258,3.265,3.246,3.254,3.27,3.271,3.27,3.248,3.25,3.248,3.248,3.247,3.247,3.246,3.246,3.246,3.246,3.246,3.247,3.247,3.247,3.247,3.246,3.247,3.246,3.246,3.246,3.246,3.247,3.245,3.246,3.246,3.246,3.246,3.247,3.247,3.246,3.247,3.245,3.247,3.247,3.246,3.246,3.247,3.246,3.247,3.247,3.248,3.247,3.248,3.247,3.246,3.247,3.247
instructions,1717005536940.0,1717004372731.0,1717003935750.0,1717004224258.0,1717010895794.0,1717058558191.0,1717132314871.0,1717058410491.0,1717073615439.0,1717004070387.0,1717004627525.0,1717004510777.0,1717004027204.0,1717002305579.0,1717003539083.0,1717003793802.0,1717004014417.0,1717003414073.0,1717004142578.0,1717003446611.0,1716999467351.0,1717079051673.0,1717148064180.0,1717058782725.0,1717057594236.0,1717096633722.0,1717003637675.0,1717002932350.0,1717002380812.0,1717051728709.0,1717060632942.0,1717081139370.0,1717063854522.0,1717059604684.0,1717060106354.0,1717045472821.0,1717002789672.0,1717003107433.0,1717026466423.0,1717059996746.0,1717078828052.0,1717059153543.0,1717059701817.0,1717059578935.0,1717059522154.0,1717059458758.0,1717058978231.0,1717006469970.0,1717002896559.0,1717003092141.0,1717002894880.0,1717002761571.0,1717002843878.0,1717003019165.0,1717002603445.0,1717002280859.0,1717002395946.0,1717002602611.0,1717002438998.0,1717002564075.0,1717004219414.0,1717002610289.0,1717001732706.0,1717002214981.0,1717001978965.0,1717002241513.0,1717001602019.0,1717001844354.0,1717002503067.0,1717001616664.0,1717003595178.0,1717002438173.0,1717002545307.0,1717001916704.0,1717002774071.0,1717000185733.0,1717000400417.0,1717000142888.0,1716999912584.0,1717000004209.0,1717000592823.0,1717000621200.0,1717020917957.0,1717019061862.0,1717023758920.0,1717023323353.0,1717023615121.0,1717019531861.0,1717017348075.0,1717016949968.0,1717014527837.0,1717020771878.0,1717018817902.0,1717016015675.0,1717016417918.0,1717022257247.0,1717002107473.0,1717057695592.0,1717004844516.0,1717014412578.0,1717023665166.0,1717021742161.0,1717021627538.0,1717023746827.0,1717021818630.0,1717019705167.0,1717018637858.0,1717016993792.0,1717020888597.0,1717020861452.0,1717021843134.0,1717021228745.0,1717020803704.0,1717020981685.0,1717021872441.0,1717020363872.0,1717020972858.0,1717020305445.0,1717020818070.0,1717021004842.0,1717020292999.0,1717021128678.0,1717020003321.0,1717020633659.0,1717021543606.0,1717020735423.0,1717020296822.0,1717020044952.0,1717019644158.0,1717019841311.0,1717021672097.0,1717018529555.0,1717019671448.0,1717019268045.0,1717019319100.0,1717018571962.0,1717018885976.0,1717018573510.0,1717018496582.0,1717017725059.0,1717015991976.0,1717017574364.0,1717017812184.0,1717017907584.0,1717017301249.0,1717017498281.0,1717015922068.0,1717016107593.0,1717014887114.0,1717015189539.0,1717015253324.0,1717015969152.0,1717014848872.0,1717015013622.0,1717015159453.0
instructions per cycle,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.1,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14
"time (s)
",456.857560018,456.704089884,456.507412657,456.543033505,458.967029947,485.568187228,485.658069807,485.448450898,483.574283481,456.290603637,456.550043898,456.513714328,456.336930318,456.310686682,456.204512257,456.374703566,456.568929158,456.327400195,456.492802667,456.328551872,461.300948422,485.381520658,485.381368563,485.68791593,485.297210799,474.184022878,456.269934362,456.358812768,455.954818923,473.974546414,485.60886328,485.52505542,485.763780142,485.39176199,485.162311942,472.604730467,455.697570852,455.72059535,464.191742338,485.148099469,485.133794573,485.137954821,485.158242302,485.118308146,485.145703763,485.13988151,485.128044159,457.522260662,456.005303542,455.834819066,455.822303733,455.839627908,455.837368864,455.831520472,455.832277814,455.852511296,455.808320298,455.844381634,455.82870904,455.845694805,456.429048243,455.82870099,455.808749832,455.817669921,455.812851218,455.800856095,455.840293997,455.913068561,456.12653491,456.208951029,456.354721351,456.376177882,456.412103323,456.454489552,456.688485577,455.959504731,455.971937039,455.845098201,455.843219413,455.849658298,455.83976735,455.89838638,460.938838221,462.26178286,459.55080167,459.55099374,459.515758367,460.288917667,460.935709049,462.150620777,459.461752975,460.154721801,461.122580446,462.341458968,462.201703861,460.369584684,457.424465837,475.049093454,455.837036297,458.89178386,462.612729619,461.199271246,460.124503167,462.845055461,461.832660672,459.440125268,459.262584972,459.359859337,462.540492649,462.288269083,462.549311062,462.545512844,462.636659855,462.737774322,462.799089702,462.838200928,462.804652458,462.788931525,462.7643114,462.671013896,462.71064856,462.725394108,462.675730797,462.760362516,463.398318995,462.819049282,462.802657067,462.817424518,462.772565981,462.726018999,463.646977107,462.779886323,462.85195582,462.895186245,462.79559145,462.62772266,462.69237684,462.75604909,462.730950929,462.917941626,462.675901797,462.60439282,462.752062016,462.820764917,462.681231884,462.825397972,462.693591327,462.680006867,462.587164572,462.645966872,462.586901551,462.669413084,462.786244915,462.763231753,462.674871245
estimated number of instructions,1713479330014.0798,1713320236587.9,1713319191465.5398,1713324801920.8198,1713409529127.3599,1713269831894.88,1713454922968.6199,1713267655219.92,1713321125535.96,1713348391484.8198,1713383814284.16,1713326282468.46,1713302346025.2598,1713296388512.94,1713311039772.42,1713305764338.0598,1713299542343.46,1713337033280.64,1713311117637.8398,1713325234325.0999,1713305124856.2,1713329556758.22,1713515390026.68,1714489269326.9998,1713243585297.5398,1713330605689.3198,1713863165264.4,1713297415024.7998,1713290254785.1199,1713344039081.0999,1713297928535.5198,1713353797458.2998,1713321219649.7998,1713264717503.7598,1713322592345.46,1713271528755.2397,1713270110781.0598,1713347260122.5999,1713308080997.0398,1713239203942.38,1713308260317.9,1713281166579.72,1713366282789.5999,1713276782582.0398,1713235920708.18,1713236712674.16,1713226035259.7397,1713299078554.9797,1713288677212.0798,1713321503121.0598,1713290120583.18,1713307887329.2798,1713348298811.94,1713293095259.2798,1713286531695.5999,1713343372248.3599,1713291124785.2397,1713327492181.7397,1713283860683.5798,1713309332281.5598,1715564175541.3198,1713296351866.4998,1713297892700.7598,1713307657957.8599,1713308925691.44,1713283384154.46,1713399956298.8398,1713400802010.1199,1713302601495.8398,1713305395056.72,1713314778543.7798,1713334614381.9,1713319659344.3398,1713312414358.2,1713399196076.16,1713273521225.5798,1713441045109.0798,1713281501508.2998,1713329049517.4998,1713300848035.6199,1713303762173.16,1713296418264.66,1713817464754.0198,1713885984520.14,1713783760099.9797,1713795537598.44,1713761991709.92,1713782157661.2598,1713806888066.5798,1714017456821.3398,1713742762474.92,1716674387399.46,1713834273602.5798,1713855784254.5999,1713876273721.9797,1714266648448.92,1713440199408.0598,1722981061157.4001,1713286137768.5999,1713554060363.4,1713908672951.7598,1713976942957.5598,1713770962868.0999,1713900588915.3599,1714245116220.1199,1713851347921.7998,1713712688194.2,1713706200630.9,1713869955665.2798,1713832579709.64,1713920551090.5598,1713877411915.0798,1713878068829.8198,1713898712099.16,1713963456324.3599,1713961581588.66,1714058758385.22,1713903220165.3198,1713954949423.2,1713919006468.0798,1713897903816.3599,1713908365286.2798,1713946738857.0598,1713904917363.1199,1716512094640.7998,1713939905796.2397,1713924510138.42,1713918585574.38,1713910547682.9,1713914766013.4998,1716627064165.2,1713909050427.42,1713915003198.4797,1714028672702.22,1713937138182.9,1713885520496.8198,1714039534812.5999,1713940475983.2,1713899398965.1199,1713983694615.5398,1713907738197.3599,1713901127491.2598,1713900567807.1199,1713914802134.4,1713923947476.5999,1713930639828.3599,1713890921725.6199,1714011980588.5198,1713879683854.14,1713899659267.0198,1713887985303.3599,1713901782261.66,1713884387793.96,1714256673315.5398,1713918196353.2998
instruction calculation error,-0.002053695722032717,-0.0021456766223840506,-0.002146031355979788,-0.0021429314414006355,-0.002097462908046807,-0.00220652130822592,-0.002141589131211704,-0.0022077031555356908,-0.0021853983832141343,-0.0021291032241736113,-0.002108796437001663,-0.0021422356700015435,-0.002155895455159833,-0.0021583646416889145,-0.0021505484563835733,-0.0021537689533880156,-0.002157520915755036,-0.0021353369261292734,-0.002150853832312399,-0.002142227665972457,-0.00215162704767737,-0.002183647229943658,-0.0021155276176226543,-0.0014964621035992636,-0.00222124694667405,-0.002193253401537971,-0.0018290423745709829,-0.0021581310406550017,-0.002161980710314798,-0.002159334844668802,-0.0021913637377110164,-0.002170743027943201,-0.0021796713397371457,-0.0022101080066691267,-0.002176693753881607,-0.0021979290155664287,-0.0021739503939031115,-0.002129202500900426,-0.002165595870928269,-0.002225194699580038,-0.00219591999650811,-0.0022002660511051624,-0.0021510137495462473,-0.0022030664511399605,-0.0022268310425392094,-0.0022263329696254044,-0.0022322721699455793,-0.002159218080922572,-0.002163199231849716,-0.0021441947523515898,-0.00216235762204673,-0.002151932614447008,-0.0021284443873173507,-0.002160697368793444,-0.0021642784594177126,-0.0021309864590334845,-0.0021614828083658505,-0.0021404221657390686,-0.00216573851612595,-0.0021509762831541483,-0.0008386955934049198,-0.0021585630681577235,-0.0021571556595944555,-0.002151748548082694,-0.002150873044296788,-0.002165901283426998,-0.002097636784919145,-0.002097285076146772,-0.002154860907046552,-0.002152718769398423,-0.0021484035587227756,-0.0021361785572086294,-0.0021449507880616776,-0.0021488050245642766,-0.0020987607296032683,-0.0021704508469981474,-0.002073007849652057,-0.002165778142246062,-0.0021379518074498773,-0.002154429915149756,-0.002153074766131535,-0.0021573684305083393,-0.0018657042377747258,-0.0018247190211519728,-0.0018869854323146978,-0.0018798729817233026,-0.0018995798207762152,-0.0018854614869939135,-0.0018697889174034902,-0.0017469211044865095,-0.0019054966099801539,-0.0002017357531214834,-0.0018546938835017042,-0.0018405369498884867,-0.0018288376064731539,-0.0016048765742258365,-0.0020744925410618328,0.0034497184227452026,-0.0021658102825262548,-0.0020153309076797873,-0.001814181293732536,-0.0017733026488110037,-0.0018931996066707698,-0.0018189369351539976,-0.001617161983471846,-0.0018452655119016448,-0.0019254011522695281,-0.0019282238749357237,-0.001835116248524433,-0.0018568683782117443,-0.0018062041876995237,-0.0018309714389600385,-0.001830341756722219,-0.0018184224998672096,-0.0017812330557514372,-0.0017814478777888935,-0.001725205760212347,-0.0018154038538713269,-0.0017855745338290119,-0.001806616439270416,-0.0018184928829154817,-0.001812885898565995,-0.0017898827375312954,-0.0018146062049589251,-0.00029670505131244705,-0.0017942879565757078,-0.0018029994690860734,-0.0018063035354411484,-0.001810751837160693,-0.0018084096775081056,-0.00022982117128324527,-0.0018109758712889152,-0.0018081727898329957,-0.001741736623716008,-0.0017950764343849471,-0.001824704471076341,-0.0017351883475099942,-0.0017926990274238417,-0.0018165777614447308,-0.001767035016109662,-0.0018102648974533157,-0.001815034929910136,-0.0018154991490245968,-0.0018072644646825195,-0.0018015856742677934,-0.0017978025592229312,-0.0018200182667009455,-0.0017496207468266339,-0.0018259616054522583,-0.001814503617068589,-0.0018213396850062943,-0.001813720399978646,-0.001823199770285393,-0.0016064741918834801,-0.001803690015577273
predicted cycles,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0,11988594768.0
cycles prediction error,-124.37349647382793,-124.36185577367077,-124.3617793031571,-124.3621898143217,-124.36838921570595,-124.35816771482354,-124.37171063575313,-124.35800844978564,-124.3619208170737,-124.3639158381302,-124.36650768743375,-124.36229814444921,-124.36054673985123,-124.3601108348848,-124.36118285226871,-124.36079685423562,-124.36034159737645,-124.36308477016995,-124.36118854960033,-124.36222145289213,-124.36075006401451,-124.36253772081788,-124.37613494736149,-124.4473926806098,-124.3562472786552,-124.36261447001309,-124.40158129899015,-124.36018594368757,-124.35966203641391,-124.36359737728688,-124.36022351673168,-124.36431138757463,-124.36192770328526,-124.35779350015645,-124.36202814199584,-124.3582918723273,-124.35818812063462,-124.36383305753587,-124.36096636175834,-124.3559266994652,-124.36097948247874,-124.3589970618982,-124.36522492625134,-124.35867628935775,-124.35568646864118,-124.3557444159664,-124.35496316068325,-124.3603076624568,-124.35954660703901,-124.36194844458187,-124.35965221699784,-124.36095219129021,-124.36390905735216,-124.35986987094734,-124.35938962183462,-124.36354858583039,-124.35972569341581,-124.36238665790893,-124.35919418666933,-124.36105791694234,-124.52604244784663,-124.36010815350298,-124.36022089473964,-124.3609354084225,-124.36102816716709,-124.35915931953035,-124.36768878182171,-124.3677506616345,-124.36056543236728,-124.3607698343049,-124.36145641427188,-124.36290778187058,-124.3618135373612,-124.36128342927739,-124.36763315712065,-124.35843765930515,-124.37069520723665,-124.35902156827326,-124.36250060654315,-124.36043713351076,-124.36065035791691,-124.36011301178713,-124.39823744028313,-124.40325096014622,-124.3957713058802,-124.39663305316586,-124.39417853547054,-124.39565405710943,-124.39746355508811,-124.41287065138042,-124.39277155238983,-124.60727549223974,-124.39946732621098,-124.40104123819694,-124.40254043116724,-124.4311037430171,-124.37063332817456,-129.6530456275741,-124.35936079860664,-124.37896441558996,-124.4049110490378,-124.40990629419863,-124.39483494576318,-124.40431954852109,-124.42952825228065,-124.40071663635032,-124.3905710486185,-124.39009636037437,-124.40207814554434,-124.39934338583025,-124.40578016007221,-124.40262371156993,-124.40267177733669,-124.40418222383609,-124.40891949130564,-124.40878231884867,-124.41589264375743,-124.40451207433789,-124.40829705021522,-124.40566714165544,-124.40412308262616,-124.40488853747534,-124.40769629164932,-124.40463625653177,-124.59540070025996,-124.40719632371179,-124.40606983947728,-124.40563634530216,-124.40504822116112,-124.40535687201401,-124.60381290051792,-124.40493866853838,-124.40537422659176,-124.41369130569315,-124.40699382032862,-124.40321700804358,-124.41448607498717,-124.4072380436973,-124.40423248110241,-124.41040030597522,-124.40484265403273,-124.40435895555828,-124.40431800405317,-124.40535951494262,-124.40602867009842,-124.4065183425007,-124.40361221032474,-124.41246996113331,-124.40278994698272,-124.4042515271211,-124.40339735536885,-124.40440686442594,-124.40313412935603,-124.4303738729056,-124.40560786640144
