CPU utilized,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
cycles,1503286020308.0,1503205259357.0,1503289509833.0,1503261719245.0,1503536065604.0,1503173529624.0,1503160558541.0,1503221217806.0,1503085973317.0,1503071956778.0,1503231071880.0,1503151575863.0,1503167331282.0,1503066458696.0,1503070443524.0,1503077412826.0,1503072340447.0,1503212204044.0,1503257894164.0,1503263662863.0,1503063979267.0,1503052496862.0,1503378914578.0,1503132585861.0,1503056620816.0,1503127536981.0,1503075460815.0,1503179449460.0,1503065925925.0,1503074343736.0,1503076121399.0,1503071655498.0,1503179251585.0,1503073570648.0,1503148593112.0,1503456693814.0,1503141092056.0,1503110526070.0,1503127942292.0,1503060588259.0,1503112210015.0,1503093596680.0,1503064963294.0,1503054315214.0,1503112426151.0,1503088639058.0,1503264328720.0,1503258702014.0,1503061091163.0,1503141299946.0,1503149823290.0,1503136124002.0,1503093262922.0,1503058827847.0,1503083444615.0,1503064682913.0,1503075836489.0,1503177509477.0,1503069190849.0,1503079682902.0,1503146957719.0,1503254732838.0,1503057739954.0,1503064516724.0,1503256142543.0,1503086935369.0,1503225468445.0,1503080368448.0,1503069559555.0,1503125762182.0,1503117445265.0,1503161157155.0,1503071736247.0,1503065072151.0,1503092452510.0,1503173288900.0,1503065135437.0,1503070589138.0,1503070626751.0,1503106801708.0,1503060405307.0,1503083743422.0,1503059922456.0,1503066748501.0,1503175370370.0,1503146300896.0,1503088389288.0,1503073974533.0,1503069087064.0,1503053398540.0,1503081517134.0,1503060651142.0,1503156826769.0,1503068447249.0,1503239531332.0,1503527338149.0,1503154009631.0,1503101277048.0,1503147024333.0,1503165953162.0,1503309569792.0,1503061318665.0,1503072885739.0,1503067500722.0,1503075239129.0,1503065250946.0,1503251302258.0,1503208773235.0,1503070892268.0,1503076578480.0,1503061429690.0,1503129227063.0,1503319041411.0,1503218204416.0,1503315920002.0,1503239199997.0,1503090042005.0,1503127611304.0,1503096627706.0,1503143980678.0,1503360356576.0,1503077074829.0,1503196977541.0,1503146079766.0,1503236582244.0,1503254163313.0,1503054084074.0,1503073829082.0,1503064345555.0,1503271475135.0,1503153637468.0,1503125204953.0,1503078217258.0,1503069724798.0,1503295885734.0,1503062704475.0,1503064893626.0,1503157245642.0
clock speed,2.897,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898
instructions,1717167170260.0,1717192074506.0,1717192298665.0,1717159036387.0,1717160627556.0,1717160071147.0,1717159326340.0,1717159331265.0,1717155644201.0,1717154549010.0,1717185021584.0,1717154662681.0,1717158778188.0,1717154246355.0,1717154753016.0,1717153678178.0,1717161613818.0,1717152836215.0,1717153879487.0,1717154635471.0,1717157244083.0,1717153881657.0,1717154581003.0,1717153575595.0,1717156748669.0,1717154639228.0,1717154031000.0,1717160762849.0,1717156543704.0,1717153335878.0,1717158849395.0,1717153501364.0,1717153135099.0,1717153394222.0,1717152985708.0,1717348645361.0,1717153802190.0,1717153883672.0,1717185049664.0,1717153823740.0,1717153328522.0,1717157246818.0,1717153276296.0,1717153114901.0,1717182677099.0,1717153930124.0,1717153646751.0,1717156836741.0,1717157947256.0,1717153787567.0,1717153575967.0,1717153702700.0,1717182075199.0,1717153797561.0,1717152908364.0,1717153551070.0,1717153654922.0,1717155775906.0,1717153318208.0,1717153055821.0,1717153463252.0,1717154184218.0,1717157681534.0,1717152880846.0,1717153789746.0,1717153341056.0,1717152973086.0,1717153753719.0,1717153935880.0,1717153815198.0,1717181865718.0,1717158235509.0,1717154023323.0,1717153094389.0,1717154379898.0,1717152852330.0,1717153857129.0,1717153846215.0,1717153450162.0,1717154231893.0,1717153892136.0,1717153441901.0,1717153255106.0,1717154579911.0,1717152509466.0,1717153910787.0,1717153293692.0,1717153327701.0,1717157277884.0,1717152960031.0,1717153650466.0,1717152676560.0,1717152692483.0,1717152990203.0,1717153456568.0,1717154246415.0,1717153021742.0,1717154277258.0,1717153783237.0,1717153225161.0,1717339096810.0,1717153743696.0,1717153250387.0,1717160267471.0,1717154072287.0,1717153513840.0,1717152511947.0,1717153603716.0,1717153392592.0,1717153393140.0,1717153731904.0,1717153649890.0,1717153946445.0,1717151926162.0,1717153140796.0,1717153598636.0,1717153338981.0,1717182142974.0,1717153534440.0,1717152716209.0,1717152607248.0,1717153922496.0,1717155461437.0,1717153034515.0,1717153768795.0,1717157500829.0,1717153787415.0,1717152931431.0,1717153290401.0,1717173993088.0,1717153665542.0,1717173980977.0,1717154137781.0,1717153965434.0,1717153964627.0,1717153308343.0,1717153814972.0,1717153492431.0
instructions per cycle,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14
"time (s)
",518.503365539,518.362640918,518.391918237,518.38298196,518.476720303,518.352335832,518.347853553,518.368158082,518.32145756,518.315999899,518.373020131,518.343336301,518.349959432,518.314546302,518.317681122,518.318301,518.316033114,518.365083618,518.381361058,518.382615359,518.313687224,518.310682005,518.423884189,518.337344514,518.311408229,518.336582576,518.31814043,518.352904867,518.314655181,518.31680498,518.317778645,518.315697053,518.354264198,518.316641432,518.34329101,518.449787537,518.341601455,518.330429707,518.335104965,518.312742542,518.329671429,518.324617906,518.313719873,518.310257696,518.329729944,518.322315437,518.383049507,518.380185762,518.312613472,518.340480164,518.343570536,518.337892868,518.323114081,518.312386237,518.319753039,518.313847308,518.317928394,518.353079762,518.314822637,518.318986531,518.342773144,518.379362969,518.310915438,518.313220279,518.380421278,518.321025227,518.369299649,518.318765014,518.31726434,518.334446343,518.331630813,518.347532475,518.317157261,518.313415972,518.32295815,518.351640893,518.313708411,518.317198697,518.315681446,518.329010879,518.312626264,518.321021757,518.312622263,518.315171289,518.352190871,518.34259485,518.321796981,518.31725722,518.315294645,518.310322815,518.319658902,518.313503079,518.34563209,518.315456729,518.37404897,518.474686639,518.345581603,518.326641732,518.342330352,518.34973484,518.398092953,518.313372449,518.316795528,518.315800841,518.3179731,518.314901387,518.378895179,518.364834338,518.315501956,518.31802157,518.312884695,518.337377968,518.402330943,518.366879263,518.401744906,518.373535713,518.322622311,518.335631399,518.325563609,518.341864074,518.415844778,518.318778057,518.360658769,518.342610298,518.373214255,518.379577412,518.30997195,518.317081106,518.3143639,518.384989017,518.345464724,518.33544223,518.320064565,518.31565977,518.394575636,518.312644821,518.313744369,518.345803888
estimated number of instructions,1713746063151.1199,1713653995666.9797,1713750041209.6199,1713718359939.2998,1714031114788.5598,1713617823771.3599,1713603036736.7397,1713672188298.8398,1713518009581.38,1713502030726.92,1713683421943.2,1713592796483.8198,1713610757661.4797,1713495762913.44,1713500305617.3599,1713508250621.64,1713502468109.5798,1713661912610.16,1713713999346.96,1713720575663.8198,1713492936364.38,1713479846422.68,1713851962618.92,1713571147881.5398,1713484547730.2397,1713565392158.3398,1713506025329.0999,1713624572384.4,1713495155554.4998,1713504751859.0398,1713506778394.8599,1713501687267.72,1713624346806.9,1713503870538.72,1713589396147.68,1713940630947.96,1713580844943.8398,1713545999719.7998,1713565854212.88,1713489070615.2598,1713547919417.0999,1713526700215.2,1713494058155.16,1713481919343.96,1713548165812.14,1713521048526.1199,1713721334740.7998,1713714920295.96,1713489643925.8198,1713581081938.44,1713590798550.5999,1713575181362.2798,1713526319731.0798,1713487063745.5798,1713515126861.0999,1713493738520.8198,1713506453597.46,1713622360803.7798,1713498877567.8599,1713510838508.2798,1713587531799.66,1713710395435.3198,1713485823547.5598,1713493549065.3599,1713712002499.0198,1713519106320.66,1713677034027.2998,1713511620030.72,1713499297892.7,1713563368887.4797,1713553887602.0999,1713603719156.7,1713501779321.5798,1713494182252.14,1713525395861.4,1713617549345.9998,1713494254398.18,1713500471617.3198,1713500514496.14,1713541753947.1199,1713488862049.9797,1713515467501.0798,1713488311599.8398,1713496093291.14,1713619922221.7998,1713586783021.44,1713520763788.3198,1713504330967.6199,1713498759252.96,1713480874335.5999,1713512929532.7598,1713489142301.88,1713598782516.66,1713498029863.8599,1713693065718.4797,1714021165489.8599,1713595570979.3398,1713535455834.72,1713587607739.6199,1713609186604.68,1713772909562.88,1713489903278.0999,1713503089742.46,1713496950823.0798,1713505772607.0598,1713494386078.44,1713706484574.1199,1713658001487.9,1713500817185.5198,1713507299467.2,1713490029846.5999,1713567318851.8198,1713783707208.5398,1713668753034.2397,1713780148802.2798,1713692687996.5798,1713522647885.7,1713565476886.5598,1713530155584.8398,1713584137972.92,1713830806496.64,1713507865305.0598,1713644554396.7397,1713586530933.2397,1713689703758.16,1713709746176.8198,1713481655844.3599,1713504165153.4797,1713493353932.7,1713729481653.9,1713595146713.5198,1713562733646.42,1713509167674.1199,1713499486269.72,1713757309736.7598,1713491483101.4998,1713493978733.64,1713599260031.88
instruction calculation error,-0.0019922970623542317,-0.0020603861918231216,-0.0020045847270898243,-0.0020037028456837483,-0.0018224927343543614,-0.0020628521680416466,-0.0020710306543541457,-0.0020307626104743826,-0.0021184070482514264,-0.002127076031208655,-0.0020391510505781336,-0.0020742838572380086,-0.002066215758023406,-0.0021305502690430484,-0.0021281992157209406,-0.0021229477609878917,-0.0021309268032636062,-0.002032971982001839,-0.0020032451262129774,-0.001999854722599426,-0.0021339383630978644,-0.0021396074478629364,-0.0019233087228238937,-0.0020862593563996633,-0.002138535658789825,-0.002090229375773526,-0.00212444871283661,-0.00205932405462904,-0.0021322389987825053,-0.0021247863791352345,-0.002126810225755676,-0.0021266672393465435,-0.0020550224787590945,-0.0021253335290604826,-0.0020752894995263124,-0.001984462748578142,-0.00208074386907179,-0.0021010836515624426,-0.0021076327515361735,-0.0021342019998874177,-0.0020996430807978103,-0.002114277308923035,-0.00213097933152085,-0.002137954690925565,-0.0021165548286337437,-0.002115641198001269,-0.001998838028672868,-0.002004427534745439,-0.0021362643640569496,-0.0020805973550116043,-0.00207481582676366,-0.0020839842887060474,-0.0021289271072180913,-0.002135355505504689,-0.0021184959622297154,-0.0021313251496347884,-0.0021239807597216507,-0.0020577137798438385,-0.002128197058113521,-0.0021210790152767184,-0.002076652744587437,-0.0020055210034901397,-0.0021383347760818216,-0.002131046001470336,-0.002004355851836271,-0.0021164299357826354,-0.002024245430186324,-0.002121029453764359,-0.0021283112194755765,-0.002090928767558461,-0.002112751239882906,-0.0020699993039642144,-0.002126916952011341,-0.0021308013530162415,-0.002113370864660207,-0.002058816708834744,-0.0021312025801454686,-0.0021275755842920245,-0.0021273204590512755,-0.002103758578457866,-0.0021343632057702552,-0.002118607639334021,-0.0021343135769986464,-0.0021305517060960966,-0.0020572355831682994,-0.0020773488871042344,-0.0021154371697764862,-0.002125026737283597,-0.0021305670005652127,-0.0021384732641021413,-0.0021202068505938405,-0.0021334936072541525,-0.0020696528514311326,-0.0021285001161766323,-0.002015190218605387,-0.0018245774552176934,-0.002071714470182296,-0.002107452703119177,-0.002076794479442338,-0.0020639035028384143,-0.002076577219807316,-0.0021336705762956903,-0.0021257046473384896,-0.002133357449107198,-0.0021246198805452443,-0.002130926403532379,-0.0020068266207599905,-0.002035695712099053,-0.0021271107300243884,-0.0021233360323929906,-0.0021335900154599383,-0.0020885324026827267,-0.001962689043365951,-0.0020284594942891754,-0.001964293057843774,-0.0020154927562504006,-0.002114366267053697,-0.0021061633457103482,-0.0021101076767383042,-0.0020781950273814406,-0.0019344819658654578,-0.0021233141322825584,-0.0020446063965123776,-0.002076986447959539,-0.0020173295483438096,-0.0020078266848065408,-0.002138498949571754,-0.0021248930195632266,-0.002131397638614639,-0.002005918705946519,-0.0020723356912597675,-0.002103017731799913,-0.0021226807929952962,-0.0021282186908361373,-0.0019780724152933227,-0.002132497560764561,-0.0021313386176880053,-0.0020698396589394793
predicted cycles,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0,11990139560.0
cycles prediction error,-124.37685760748559,-124.37012199355918,-124.3771486403783,-124.37483085351177,-124.3977118514874,-124.36747567465345,-124.36639386214117,-124.37145295796707,-124.36017331536381,-124.35900430987144,-124.37227480611577,-124.36564469004396,-124.36695872137122,-124.35854575957913,-124.35887810166574,-124.35945935444975,-124.35903630858155,-124.37070119340629,-124.37451183462288,-124.37499295487767,-124.35833897057658,-124.35738131658577,-124.38460516284432,-124.36406088846225,-124.35772526204023,-124.36363980245447,-124.359296553092,-124.3679694000159,-124.35850132548416,-124.35920338662012,-124.35935164702954,-124.35897918255758,-124.36795289687187,-124.35913890963919,-124.36539592304796,-124.39109209617907,-124.36477032098865,-124.36222106075303,-124.36367360614776,-124.35805615418542,-124.36236150490646,-124.360809118055,-124.35842104026352,-124.35753297053367,-124.36237953105193,-124.36039564313461,-124.37504848859324,-124.37457921081946,-124.3580980973169,-124.36478765940235,-124.36549852218734,-124.36435597602002,-124.36078128201537,-124.35790933254158,-124.35996241690117,-124.35839765596523,-124.3593278850042,-124.36780760181577,-124.3587736262346,-124.35964868302167,-124.36525952822187,-124.37424817413886,-124.35781860023654,-124.3583837954927,-124.37436574616484,-124.36025355229476,-124.37180746918679,-124.35970585883656,-124.3588043770026,-124.363491780908,-124.36279813451979,-124.36644378766513,-124.35898591717476,-124.35843011914034,-124.36071369214321,-124.36745559782291,-124.35843539731076,-124.3588902461449,-124.35889338313923,-124.36191044201658,-124.35804089564742,-124.35998733796222,-124.35800062497354,-124.3585699298566,-124.3676291963027,-124.36520474795874,-124.36037481185082,-124.3591725944014,-124.35876497037204,-124.35745651821254,-124.35980166139117,-124.35806139874488,-124.3660826253969,-124.35871160860783,-124.3729803401888,-124.39698396546437,-124.36584767083394,-124.36144967506951,-124.3652650839537,-124.36684378359313,-124.37882167836919,-124.35811707140796,-124.35908178695128,-124.35863266649083,-124.35927806406617,-124.35844503097677,-124.37396205736908,-124.3704150575375,-124.3589155277522,-124.35938976843735,-124.35812633110002,-124.36378075844515,-124.37961162905764,-124.37120163562133,-124.37935129772585,-124.37295270623189,-124.36051265153081,-124.36364600113129,-124.36106191127604,-124.36501123745052,-124.38305739086827,-124.3594311648696,-124.36943127465983,-124.36518630530436,-124.37273438074978,-124.37420067469174,-124.3575136930266,-124.35916046351674,-124.35836951967889,-124.37564451293176,-124.36581663174569,-124.36344530697022,-124.35952644557875,-124.35881815857697,-124.37768040241227,-124.3582326505464,-124.3584152298224,-124.36611756018627
