CPU utilized,cycles,clock speed,instructions,instructions per cycle,time (s)
1.0,7035908224,3.49,8002541028,1.14,2.016520004
1.0,7029909840,3.484,8003172277,1.14,2.018195844
1.0,7030947484,3.487,8002537209,1.14,2.016595596
1.0,7033174304,3.487,8002588045,1.14,2.017288186
1.0,7027402929,3.486,8002516845,1.14,2.015968991
1.0,7036315333,3.488,8002497989,1.14,2.017729237
1.0,7043156173,3.484,8002592318,1.14,2.021979055
1.0,7032904531,3.488,8002561161,1.14,2.016793385
1.0,7027755025,3.485,8002524940,1.14,2.016520423
1.0,7034007466,3.488,8002512679,1.14,2.016788741
1.0,7030881488,3.486,8002507190,1.14,2.016877031
1.0,7044342487,3.486,8002517860,1.14,2.021247751
1.0,7052919838,3.486,8002550969,1.13,2.023240107
1.0,7046771610,3.486,8002509272,1.14,2.021498374
1.0,7042784476,3.484,8002553238,1.14,2.022012483
1.0,7043588764,3.486,8002542979,1.14,2.020998417
1.0,7050331387,3.489,8002527569,1.14,2.021175021
1.0,7045040550,3.487,8002496134,1.14,2.020505602
1.0,7052653769,3.483,8002522487,1.13,2.024844843
1.0,7046322449,3.486,8002525760,1.14,2.021418824
1.0,7029578000,3.487,8002512194,1.14,2.015944278
1.0,7050082912,3.488,8002518123,1.14,2.021645864
1.0,7070326235,3.448,8002649953,1.13,2.050641203
1.0,7055227625,3.487,8002541686,1.13,2.023791272
1.0,7055039398,3.489,8002561860,1.13,2.022330744
